revision_timing,nth_revision,sleep_duration,topic_difficulty,study_duration,session_time,S_true,retention_percentage
13.1,4,3.5,7,75,evening,156.49,88.92
37.0,3,4.1,5,67,evening,94.56,63.37
33.8,0,4.1,7,74,night,13.63,7.11
30.2,3,5.2,6,110,morning,148.93,78.58
0.5,4,5.7,3,73,night,237.07,98.03
3.8,2,5.3,5,74,evening,71.27,93.04
4.0,2,4.4,3,71,afternoon,62.05,92.88
6.4,5,6.5,9,130,morning,436.4,99.97
492.3,0,7.3,5,79,night,23.47,1.2
13.8,0,6.0,7,15,morning,19.07,47.13
1.0,4,6.1,5,87,evening,238.27,100.0
28.2,1,4.9,10,63,evening,22.69,19.59
49.5,2,3.8,7,82,afternoon,51.17,33.22
13.2,1,8.0,8,10,evening,32.97,62.07
17.9,1,3.2,9,75,night,22.39,43.44
308.7,3,7.9,3,148,afternoon,197.67,26.14
120.8,1,6.2,9,99,night,31.61,2.67
14.2,2,5.4,2,82,evening,86.93,89.89
6.2,4,6.8,8,58,morning,214.39,100.0
51.9,8,3.6,4,102,night,1884.05,99.33
9.9,0,8.5,5,54,morning,27.06,74.03
22.2,2,2.9,3,51,evening,41.53,65.3
255.4,2,3.5,8,122,afternoon,53.47,1.4
28.8,0,7.9,5,49,night,21.76,21.92
92.0,2,8.5,7,99,night,71.88,25.72
17.4,3,6.7,5,137,morning,165.34,89.42
6.0,5,4.5,8,137,evening,306.79,100.0
23.0,5,7.9,6,40,morning,467.28,91.02
13.0,4,6.6,4,41,afternoon,233.83,88.82
6.8,1,7.5,6,98,morning,51.43,87.29
12.6,3,4.7,4,88,morning,118.43,81.23
73.1,2,7.0,10,120,morning,80.58,36.99
59.9,0,4.4,6,88,evening,16.18,2.63
28.9,0,7.2,7,39,morning,23.45,30.26
52.2,5,6.6,10,60,morning,354.56,82.71
0.5,1,5.8,3,70,morning,49.52,95.26
2.3,2,6.5,8,146,night,64.3,99.53
38.5,2,8.3,10,115,evening,70.84,63.34
1.8,1,6.1,3,48,morning,46.82,92.22
67.4,3,4.9,1,127,night,127.58,59.85
278.0,2,3.0,5,180,evening,61.24,0.0
25.3,0,3.5,7,58,morning,16.07,21.34
84.1,3,4.4,6,126,evening,102.87,41.78
16.2,2,4.8,6,102,evening,54.16,73.08
14.9,2,6.3,9,50,night,50.44,77.19
50.1,9,6.3,4,131,night,4822.94,98.6
63.4,0,5.7,4,68,afternoon,23.88,2.56
63.4,1,8.2,4,171,night,50.58,30.3
35.4,3,2.4,9,56,afternoon,57.64,55.35
1.7,1,8.4,5,31,afternoon,42.42,89.76
52.6,7,7.9,8,57,evening,1274.85,92.4
15.8,4,5.6,10,103,afternoon,202.33,94.39
9.4,1,4.8,4,32,morning,31.7,64.68
58.6,6,6.9,5,19,night,593.19,88.11
11.7,3,7.2,9,63,night,107.96,93.06
37.0,1,6.9,6,41,night,31.62,25.22
101.7,7,10.0,2,83,afternoon,1972.4,90.59
21.0,1,6.1,5,48,evening,37.07,58.51
3.2,4,6.6,8,106,night,196.12,93.58
0.5,3,5.7,2,66,morning,169.25,100.0
162.4,4,5.7,6,75,afternoon,228.61,48.09
31.8,2,6.1,9,85,evening,60.05,64.3
355.1,2,5.8,5,39,night,59.71,0.0
38.3,0,6.7,5,98,evening,23.29,14.42
3.5,4,4.7,8,180,evening,170.44,99.05
130.2,0,8.1,7,95,morning,26.97,0.0
17.3,1,5.1,8,85,afternoon,36.39,71.66
11.0,1,4.5,7,32,morning,27.01,67.56
58.1,6,5.6,10,46,afternoon,569.9,85.25
3.6,0,4.9,5,59,evening,15.89,90.1
197.7,6,7.5,1,127,night,1140.83,81.95
6.5,0,7.7,6,84,morning,27.64,77.27
70.0,4,6.9,4,47,afternoon,237.58,73.65
71.2,0,4.2,7,84,morning,17.14,6.0
39.6,5,8.2,8,31,night,336.66,85.37
5.2,3,4.5,7,110,evening,94.39,93.48
3.3,6,7.8,8,38,night,617.63,100.0
7.1,0,8.6,6,22,night,19.18,66.13
1.6,1,4.9,7,128,morning,34.1,87.12
92.8,2,5.1,5,111,evening,77.74,23.76
2.0,0,9.2,7,61,evening,22.07,79.24
170.5,0,4.9,5,23,evening,14.43,4.71
112.6,5,5.7,4,110,evening,478.53,75.59
181.9,3,6.1,7,111,night,115.63,20.28
1.6,1,6.7,6,180,morning,48.38,100.0
33.5,1,5.7,9,141,morning,41.87,46.04
12.0,4,4.9,5,51,evening,163.4,95.27
135.0,2,10.0,4,154,morning,111.74,27.08
57.0,1,6.2,8,101,night,33.24,12.93
118.5,4,8.9,7,122,afternoon,278.72,61.52
7.7,0,5.9,4,70,evening,23.04,70.53
40.9,1,5.2,9,123,afternoon,37.91,39.6
1.9,2,4.1,5,95,morning,63.23,95.76
24.5,4,7.7,3,105,afternoon,334.21,89.56
17.4,2,6.5,7,113,morning,79.19,80.46
103.1,6,3.0,4,88,morning,690.71,82.25
145.6,0,7.3,5,132,evening,28.9,3.96
6.9,9,4.4,10,83,afternoon,2735.9,100.0
101.9,8,5.2,7,131,evening,2490.72,94.85
281.2,4,5.6,7,51,evening,196.39,23.76
0.5,5,7.5,6,48,night,388.91,100.0
25.5,5,7.4,7,83,night,403.67,92.67
617.6,0,4.9,7,108,evening,16.11,0.0
7.6,6,6.2,5,31,afternoon,697.04,100.0
17.5,3,4.7,10,164,night,79.34,83.82
53.1,2,6.2,9,66,morning,64.49,42.89
5.4,8,5.5,10,76,afternoon,1992.52,91.45
45.6,1,5.6,6,180,morning,48.38,39.85
48.3,9,6.3,5,180,evening,4998.65,99.8
26.7,9,8.6,6,145,night,4996.19,99.33
57.6,6,5.7,9,52,evening,580.7,90.52
720.0,1,5.7,7,56,afternoon,35.53,0.0
64.6,0,7.4,7,180,afternoon,27.21,5.93
16.4,1,6.9,1,66,morning,55.89,66.32
1.6,6,7.5,7,180,evening,888.5,100.0
75.4,4,5.2,8,101,evening,211.51,71.86
23.6,1,7.7,7,60,evening,39.63,51.58
61.3,1,7.4,6,99,night,42.0,26.53
60.6,2,7.2,5,120,morning,102.61,53.71
9.9,1,6.8,9,180,morning,41.87,81.26
11.4,6,8.2,7,55,night,677.74,99.53
68.4,1,5.3,5,96,evening,41.73,14.89
34.7,1,5.4,4,66,evening,41.06,40.03
22.1,2,5.1,3,46,night,68.31,69.39
368.5,2,5.5,7,74,night,58.89,0.0
28.9,2,7.6,6,164,evening,89.03,82.17
14.8,5,7.8,5,51,evening,450.99,98.91
53.7,1,4.2,5,89,morning,34.64,18.77
57.9,7,5.2,5,31,evening,1204.48,97.69
30.0,4,4.3,8,20,afternoon,134.43,75.83
14.1,1,8.3,8,80,evening,39.69,70.2
2.1,3,5.7,5,92,evening,133.95,99.33
1.6,9,5.8,3,92,evening,5115.41,97.7
2.0,6,7.0,7,83,evening,792.66,96.73
6.0,3,5.2,5,53,morning,136.88,96.52
62.4,0,4.3,4,111,morning,21.42,0.5
9.6,1,5.8,5,90,afternoon,42.86,83.61
69.5,1,8.2,1,153,night,61.21,31.15
340.0,3,7.4,6,94,evening,146.74,12.31
34.8,2,5.8,2,180,morning,109.88,71.82
26.4,1,6.8,6,180,evening,43.01,48.67
258.5,1,6.1,8,93,night,32.63,0.0
27.0,0,7.1,9,93,night,19.91,24.19
7.8,4,5.3,7,94,morning,245.65,96.94
285.6,1,6.9,6,74,night,34.41,0.0
14.0,0,6.4,6,45,morning,21.79,58.64
3.2,1,4.8,4,78,morning,35.69,88.5
40.4,0,7.4,2,49,evening,28.4,25.52
49.3,4,6.0,7,129,morning,265.77,81.86
70.4,1,5.7,10,73,night,28.43,12.61
6.4,0,8.0,6,117,morning,29.83,81.52
17.1,1,6.0,8,35,morning,34.6,66.81
63.2,6,4.6,6,131,night,555.91,89.61
35.3,3,5.3,8,46,night,94.07,69.97
16.5,4,6.9,9,39,evening,173.18,87.29
272.6,6,4.5,4,180,night,623.35,61.43
42.9,5,5.5,7,101,night,366.2,89.55
71.8,4,5.7,5,134,afternoon,275.56,73.39
19.0,1,8.0,7,67,afternoon,42.02,61.78
219.8,2,4.4,6,81,evening,51.55,0.6
5.5,1,6.2,5,118,evening,43.87,93.87
0.5,1,6.6,9,145,evening,37.22,99.42
