revision_timing,nth_revision,sleep_duration,topic_difficulty,study_duration,session_time,S_true,retention_percentage
41.2,0,5.1,2,52,1,25.93,25.26
79.1,0,7.1,6,50,3,20.69,3.57
69.0,4,6.9,7,50,2,195.88,67.39
8.5,0,7.7,7,102,1,25.38,75.28
8.3,0,5.5,3,97,0,29.35,75.43
15.5,3,6.5,8,70,0,122.76,88.27
22.0,1,4.7,6,62,0,30.74,44.68
25.7,3,7.4,8,52,3,109.9,75.68
55.1,0,7.2,5,180,2,28.98,12.05
3.3,1,7.1,5,24,2,39.94,92.23
2.2,0,6.5,8,46,0,19.8,89.75
24.4,0,7.0,8,68,3,19.63,34.25
57.8,4,8.6,5,21,2,230.99,79.21
10.8,0,6.1,4,41,0,24.06,54.35
49.7,1,6.7,4,160,0,53.98,40.74
14.9,1,5.1,4,93,0,49.32,68.85
104.8,1,5.4,4,41,0,43.3,5.51
109.0,4,6.6,4,40,1,233.2,59.82
17.4,0,7.9,8,24,1,19.86,39.31
13.0,2,6.2,2,44,0,88.85,81.58
25.9,6,6.2,6,77,2,714.57,97.15
13.7,2,6.0,3,70,0,89.14,80.82
54.1,5,5.8,4,46,0,460.63,90.17
84.5,0,6.9,2,32,1,24.58,11.04
54.2,1,4.6,4,51,1,30.87,12.63
84.0,0,8.2,7,51,2,21.51,1.02
24.8,3,5.6,8,87,0,127.93,73.55
8.7,6,7.4,3,65,1,984.03,98.07
64.8,0,4.8,5,60,1,16.59,4.26
22.0,2,7.4,5,107,0,99.67,82.72
53.9,0,7.4,8,127,2,24.56,11.41
15.6,2,7.0,7,70,0,82.3,85.84
4.6,1,5.2,5,71,0,44.21,99.03
235.9,6,6.8,6,53,3,616.71,74.21
8.7,2,5.0,7,34,3,53.1,83.06
214.5,1,6.2,1,91,2,52.79,0.0
182.2,0,7.8,5,82,0,29.02,0.0
76.3,0,7.5,8,56,0,23.37,0.5
52.2,0,6.5,7,65,2,19.39,8.35
41.9,0,5.2,5,103,1,24.54,14.0
97.0,4,7.3,5,112,0,326.6,74.05
16.9,2,6.5,4,10,1,66.19,80.4
30.8,1,3.5,5,39,0,30.54,36.12
46.9,0,7.5,6,56,3,21.01,7.42
25.9,4,6.5,5,29,0,231.07,93.51
27.3,2,8.1,6,66,2,76.18,63.31
19.7,0,5.1,8,40,0,19.48,35.23
40.4,2,2.4,3,67,1,45.06,40.65
91.7,1,6.9,5,41,1,37.9,8.95
11.3,0,6.9,5,42,0,22.8,61.55
131.3,1,4.3,6,67,3,25.37,2.7
56.6,1,5.2,3,93,2,46.53,29.5
83.7,0,10.0,6,79,3,22.26,1.04
39.5,5,6.1,8,56,3,312.83,86.71
73.1,3,7.5,5,17,1,132.17,55.38
1.3,2,5.7,8,42,3,51.71,100.0
82.4,1,3.8,10,39,0,23.98,0.96
2.5,1,6.3,2,84,0,54.59,98.49
106.4,2,6.2,3,62,0,87.37,29.65
232.0,1,6.0,9,63,0,35.56,0.0
17.2,0,6.4,9,35,1,17.0,38.52
11.8,1,6.8,2,115,0,58.65,79.23
70.1,3,6.3,1,63,2,159.77,66.72
14.5,1,4.9,3,34,1,31.32,63.69
96.8,0,7.1,10,35,0,20.21,0.0
5.7,3,4.0,3,68,1,110.87,96.84
7.0,0,3.8,5,33,0,16.69,67.66
186.3,0,7.5,7,39,2,20.84,4.06
54.3,0,7.2,1,29,0,32.4,22.1
90.6,1,6.4,6,84,3,35.26,9.37
19.3,3,4.7,4,34,2,91.78,77.09
54.7,1,5.6,8,125,0,43.06,36.64
43.8,0,6.2,4,73,0,26.11,13.77
44.9,4,4.4,6,28,2,145.66,76.79
55.6,4,5.5,6,79,2,221.62,79.32
41.6,4,7.3,3,115,2,328.16,83.98
27.4,0,8.4,1,55,2,30.87,40.73
16.0,1,6.0,5,122,0,49.79,72.24
70.7,6,7.5,4,74,1,948.05,97.38
12.8,3,4.0,7,40,0,89.42,84.17
57.1,0,7.4,7,161,3,23.95,8.3
13.3,0,5.5,5,24,2,19.3,42.02
47.6,1,6.9,6,47,0,39.43,35.98
66.5,4,6.2,6,56,0,235.41,71.64
12.3,1,8.2,7,147,0,52.9,80.4
3.5,1,5.4,5,85,0,45.74,92.28
7.2,0,7.3,4,77,2,26.96,76.22
45.2,2,6.1,4,37,2,68.54,54.55
91.4,3,6.3,5,53,3,111.53,49.91
2.7,1,6.3,5,41,1,37.9,94.0
64.1,3,5.4,5,76,0,145.02,66.57
20.5,6,6.5,2,105,2,963.07,99.05
31.8,0,6.4,6,180,2,23.89,29.98
127.4,1,6.8,3,44,1,42.9,3.51
19.9,0,6.6,3,23,2,21.61,43.57
30.6,3,7.5,5,48,1,143.86,84.73
1.2,2,7.7,3,98,1,101.5,100.0
4.6,2,5.1,6,34,1,63.48,90.7
14.9,3,7.6,4,57,0,168.24,90.94
1.9,1,5.0,5,78,0,44.98,96.7
48.4,4,7.3,5,44,0,276.73,79.16
27.2,1,7.3,3,65,2,49.99,63.62
38.6,0,4.0,3,32,0,18.69,12.63
9.7,2,6.6,8,109,1,69.25,87.92
17.3,3,5.9,5,50,3,110.66,83.51
52.8,1,5.5,5,64,0,43.45,25.02
161.8,4,8.3,1,17,1,304.51,56.67
3.0,4,5.7,5,29,2,205.4,99.32
106.6,0,5.5,5,96,0,26.08,4.04
41.8,6,6.6,5,44,0,779.66,95.35
40.3,0,7.4,6,33,0,24.27,20.21
33.8,0,6.3,3,22,0,24.24,23.62
4.0,0,8.0,4,108,3,26.58,87.76
5.0,4,7.2,7,83,2,244.65,100.0
44.6,2,3.7,9,80,2,44.5,39.17
20.5,0,5.8,3,131,3,25.81,48.02
120.1,1,5.8,5,47,2,36.97,4.91
25.5,2,7.1,3,24,0,90.82,70.26
7.9,0,3.1,2,59,3,17.42,59.89
60.7,4,9.8,4,144,1,335.23,85.03
17.2,3,7.2,3,60,2,159.95,89.77
36.3,1,6.7,6,104,3,36.95,38.98
57.9,6,8.0,5,24,0,849.09,99.28
111.2,1,9.5,3,36,0,52.15,14.4
75.9,6,7.6,1,93,0,1296.7,98.72
54.7,2,7.7,7,63,1,74.88,48.5
55.1,2,6.7,3,54,2,76.09,45.65
140.5,0,6.3,6,103,3,20.48,0.0
17.3,4,5.9,4,92,0,286.94,91.33
0.6,1,5.4,6,64,1,38.14,100.0
15.7,0,5.6,4,10,1,20.43,49.14
12.3,0,4.7,2,58,0,21.33,58.0
52.5,2,6.4,3,73,0,89.8,60.06
48.7,1,4.3,3,18,0,32.35,15.12
43.7,2,6.7,5,71,3,64.85,53.03
1.3,4,6.5,6,105,0,265.04,94.92
63.1,0,6.7,4,58,1,23.29,6.63
19.3,3,5.8,1,31,2,146.87,86.59
53.0,0,10.0,5,11,1,22.27,11.58
39.5,4,8.3,6,72,3,229.66,85.0
20.6,3,4.9,9,19,3,62.59,76.66
7.4,1,6.8,6,80,0,42.85,82.03
5.3,2,5.7,5,140,1,85.05,96.44
86.0,1,5.2,5,37,0,40.5,12.53
120.8,1,4.8,8,51,0,27.08,0.0
50.9,3,7.1,7,144,0,171.39,71.09
5.7,1,5.6,4,61,2,40.55,86.36
25.2,1,7.8,3,44,1,49.33,63.89
63.2,1,7.8,4,98,0,57.38,34.86
73.1,3,8.3,5,46,0,154.55,58.23
6.5,1,5.4,7,36,3,29.66,79.83
0.5,0,7.1,5,79,0,28.81,100.0
60.3,2,7.3,2,102,0,117.88,60.35
21.7,3,5.9,6,36,1,114.88,81.64
14.6,0,5.5,7,64,3,17.73,45.61
1.1,0,8.6,4,52,0,28.48,98.88
37.8,0,6.8,6,57,2,19.99,13.49
91.9,1,7.3,5,31,2,40.73,12.23
152.2,1,5.4,8,82,0,39.02,0.87
40.5,3,4.9,7,124,2,97.37,68.49
35.2,2,5.8,5,35,1,67.13,59.79
4.8,2,6.3,6,82,2,68.9,94.96
38.7,1,5.1,8,96,2,35.85,31.32
23.4,3,6.5,5,64,1,130.35,80.69
45.3,1,4.3,4,80,0,35.86,31.58
24.1,6,5.0,7,38,2,614.77,95.88
13.7,2,7.4,3,121,0,115.47,89.81
5.3,0,7.3,4,102,0,32.17,83.74
18.7,2,6.0,8,108,0,74.62,80.98
5.4,1,5.2,6,28,1,34.69,83.46
9.8,2,5.2,5,75,2,71.44,86.71
210.2,0,6.0,3,39,0,25.4,2.78
28.7,0,7.3,4,126,1,31.43,44.23
